genus	number
ABIES	4
ACER	825
AESCULUS	22
AMELANCHIER	2
BETULA	25
CARPINUS	49
CATALPA	1
CEDRUS	15
CERCIDIPHYLLUM	21
CERCIS	4
CHAMAECYPARIS	24
CORNUS	101
CORYLUS	3
CRATAEGUS	87
CRYPTOMERIA	4
DAVIDIA	6
EUCOMMIA	6
FAGUS	87
FRAXINUS	166
GINKGO	2
GLEDITSIA	45
HIBISCUS	1
ILEX	9
JUGLANS	7
LABURNUM	5
LARIX	2
LIQUIDAMBAR	55
LTF SPECIMEN	1
MAGNOLIA	68
MALUS	146
METASEQUOIA	24
MORUS	1
NYSSA	6
PARROTIA	4
PHELLODENDON	3
PICEA	18
PINUS	14
PLATANUS	40
POPULUS	1
PRUNUS	587
PSEUDOTSUGA	14
PTEROCARYA	1
PYRUS	7
QUERCUS	78
ROBINIA	5
SEQUOIADENDRON	10
SORBUS	28
STEWARTIA	7
STYRAX	10
SYRINGA	2
TAXODIUM	3
THUJA	45
TILIA	72
TSUGA	2
ULMUS	137
ZELKOVA	2
